Change Component Designator: OldDesignator=JP? NewDesignator=JPrev
Added Pin To Net: NetName=D8 Pin=ARDUINO_MINI_PRO-GND
Added Pin To Net: NetName=D8 Pin=ARDUINO_MINI_PRO-GND
Added Pin To Net: NetName=D8 Pin=ARDUINO_MINI_PRO-GND
Added Pin To Net: NetName=D8 Pin=ARDUINO_MINI_PRO-GND
Added Pin To Net: NetName=D8 Pin=ARDUINO_MINI_PRO-GND
Added Pin To Net: NetName=GND Pin=ARDUINO_MINI_PRO-GND
Added Pin To Net: NetName=GND Pin=ARDUINO_MINI_PRO-GND
Added Pin To Net: NetName=GND Pin=ARDUINO_MINI_PRO-GND
Added Pin To Net: NetName=GND Pin=ARDUINO_MINI_PRO-GND
Added Pin To Net: NetName=GND Pin=ARDUINO_MINI_PRO-GND
Added Pin To Net: NetName=D7 Pin=ARDUINO_MINI_PRO-RST
Added Pin To Net: NetName=D7 Pin=ARDUINO_MINI_PRO-RST
Added Pin To Net: NetName=U1RX Pin=ARDUINO_MINI_PRO-RX
Added Pin To Net: NetName=U1RX Pin=ARDUINO_MINI_PRO-RX
Added Pin To Net: NetName=U1TX Pin=ARDUINO_MINI_PRO-TX
Added Pin To Net: NetName=U1TX Pin=ARDUINO_MINI_PRO-TX
Added Pin To Net: NetName=NetARDUINO_MINI_PRO_VCC Pin=ARDUINO_MINI_PRO-VCC
Added Pin To Net: NetName=NetARDUINO_MINI_PRO_VCC Pin=ARDUINO_MINI_PRO-VCC
Added Pin To Net: NetName=U1EN Pin=ARDUINO_MINI_PRO-VCC
Added Pin To Net: NetName=U1EN Pin=ARDUINO_MINI_PRO-VCC
