Added Pin To Net: NetName=DTR Pin=P3-1
Added Pin To Net: NetName=D8 Pin=U-GND
Added Pin To Net: NetName=D8 Pin=U-GND
Added Pin To Net: NetName=D8 Pin=U-GND
Added Pin To Net: NetName=D8 Pin=U-GND
Added Pin To Net: NetName=NetP2_9 Pin=U-GND
Added Pin To Net: NetName=NetP2_9 Pin=U-GND
Added Pin To Net: NetName=NetP2_9 Pin=U-GND
Added Pin To Net: NetName=NetP2_9 Pin=U-GND
Added Pin To Net: NetName=D7 Pin=U-RST
Added Pin To Net: NetName=D7 Pin=U-RST
Added Pin To Net: NetName=D7 Pin=U-RST
Added Pin To Net: NetName=NetP2_11 Pin=U-RX
Added Pin To Net: NetName=NetP2_11 Pin=U-RX
Added Pin To Net: NetName=NetP2_12 Pin=U-TX
Added Pin To Net: NetName=NetP2_12 Pin=U-TX
Added Pin To Net: NetName=U1EN Pin=U-VCC
Added Pin To Net: NetName=U1EN Pin=U-VCC
Added Pin To Net: NetName=U1EN Pin=U-VCC
Added Pin To Net: NetName=VCC Pin=U-VCC
Added Pin To Net: NetName=VCC Pin=U-VCC
Added Pin To Net: NetName=VCC Pin=U-VCC
