Add Pin To Net: Unknown Pin: Pin U1-21
Add Net: Net with name "NetQ?_2" already exists
Added Member To Class: ClassName=Sheet1 Member=Component C2 Cap
Added Member To Class: ClassName=Sheet1 Member=Component C3 Header4
Added Member To Class: ClassName=Sheet1 Member=Component C? JP3
Added Member To Class: ClassName=Sheet1 Member=Component Q? S9015
Added Member To Class: ClassName=Sheet1 Member=Component R? 22k
Added Member To Class: ClassName=Sheet1 Member=Component R? 1k
Added Member To Class: ClassName=Sheet1 Member=Component R? 10R
Added Member To Class: ClassName=Sheet1 Member=Component R? 1k
Added Member To Class: ClassName=Sheet1 Member=Component R? 1k
Added Member To Class: ClassName=Sheet1 Member=Component R? 1k
Added Member To Class: ClassName=Sheet1 Member=Component R? Res5
Added Member To Class: ClassName=Sheet1 Member=Component Rp? 10k
Added Member To Class: ClassName=Sheet1 Member=Component Rp? 10k
Added Member To Class: ClassName=Sheet1 Member=Component U1 SCD40-D-R2
